stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
0b07eb5c-c246-4d79-a0e0-e97fb6c6527e,148,John Street,,44.37990156,-79.69372107,0,0
2286c7f8-59ff-4e67-a74b-4de433ff8f3d,146,Brock Street,,44.3772017584563,-79.6934811588216,0,0
9422c84f-7d64-4f53-a58b-9bf49893421e,310,Essa at Allandale GO,,44.3738959300959,-79.6908320092929,0,0
db0bff82-52b2-46b2-8de5-84d6147ecb66,168,Granville Street,,44.371544,-79.690533,0,0
0d6db32a-0adb-4a9e-9b32-ba639cc60487,174,William Street,,44.37130339,-79.68839559,0,0
1942059c-43db-4e9e-8398-5190c5ac6aa5,165,Burton at Bayview,,44.3711314,-79.68436993,0,0
fe9e76d1-6c4b-452e-bced-cd103b063fc2,173,Robinson Street,,44.37138819,-79.68121647,0,0
a7aa208c-363e-48c7-87c3-27bb9cd11f91,170,Melinda Crescent,,44.37159264,-79.67856723,0,0
7f658344-d233-453d-89d1-9b9bd2eecaf0,166,Garden Drive,,44.37077229,-79.67420508,0,0
25b46aae-c277-4ce9-8702-b6c34c0f1a06,716,Yonge at Huronia,,44.370044,-79.669356,0,0
f49f1cb8-5a82-4e3f-8698-5b5d4d2dd2a7,712,Foster Drive,,44.36896555,-79.66673841,0,0
34d63177-d074-47f7-9bec-89565b52a054,718,Yonge at Little,,44.3664112309463,-79.6627081729596,0,0
5c7a6dcb-392b-4376-86d7-a9e860a68730,719,Barrington Residence,,44.3639105,-79.65957671,0,0
9c1c2857-c828-455d-9e29-6c41baee3430,709,"D'Ambrosio Drive",,44.36098314,-79.65592268,0,0
a2f39abd-a4ea-40cc-9db0-72b096fc2010,707,Cox Mill Road,,44.3589278673487,-79.6524487228661,0,0
c7078647-c372-4bcd-8f42-6e1f42576313,705,Yonge at Big Bay Point,,44.35651809,-79.64697827,0,0
e2e39c55-b488-4e89-8983-bb15f131ae69,722,Madelaine Drive,,44.35464896,-79.64176327,0,0
9afc9ba3-2ef4-4d5e-91ed-a58560b57d1f,800,Esther Drive,,44.35279936,-79.63652178,0,0
69d0aa2b-15b2-4ac9-930a-d0b77f24125e,801,Country Lane,,44.35168136,-79.63343444,0,0
eee521f4-1bd6-428c-a166-c49e0eb0734c,725,Barrie South GO Station,,44.35185862,-79.62838858,0,0
80624e82-8b76-40a0-aa0e-190d118467eb,953,Yonge at Mapleview,,44.348704,-79.627771,0,0
ef9c0864-6228-46e2-9a08-7701a15e11a0,955,Goodwin Drive,,44.34762231,-79.63144988,0,0
e0e8c683-25d9-480d-9f50-76bc529fb1ab,956,Dean Avenue,,44.3462834848766,-79.6374556273286,0,0
